(Почти) Пять Докторов,,,
Далеки - список появлений.txt,,,Далеки
Далеки на Манхэттене.txt,Десятый Доктор,Марта Джонс,Далеки
Далеки!.txt,,,Далеки
Далеки.txt,Первый Доктор Второй Доктор Третий Доктор Седьмой Доктор Восьмой Доктор,,Далеки Даврос Мастер
Даркел - список появлений.txt,,,
Дафни Оксенфорд.txt,,,
Дафни Эшбрук.txt,,,
Два Доктора.txt,Второй Доктор Шестой Доктор,Пери Браун,Сонтаранцы
Двенадцатый Доктор (Теневой мир).txt,Двенадцатый Доктор,Нардол,
Двенадцать Докторов Рождества.txt,Девятый Доктор,Эйс,
Двойная дилемма.txt,Шестой Доктор,Пери Браун,
"Девочка, которая ждала.txt",Одиннадцатый Доктор,Эми Понд Рори Уильямс,
Девушка в камине.txt,Десятый Доктор,Роза Тайлер Микки Смит,
"Девушка, которая умерла.txt",Двенадцатый Доктор,Клара Освальд,
Девятый Доктор (Крик Шалка).txt,Девятый Доктор,,Мастер
Дед Парадокс.txt,,,
Дельта и знаменосцы.txt,Седьмой Доктор,Эйс,
Демон.txt,,,Мастер
Демоны (ТВ история).txt,Третий Доктор,Джо Грант,Мастер
Демоны Пенджаба.txt,Тринадцатый Доктор,,
День далеков.txt,Третий Доктор,Джо Грант,Далеки
День Другого.txt,,,
День клоуна.txt,,,
День Луны.txt,Одиннадцатый Доктор,Эми Понд Рори Уильямс Ривер Сонг Ривер Сонг,Тишина
День отца.txt,Девятый Доктор,Роза Тайлер Микки Смит,
День первый.txt,,Джек Харкнесс,
Деревня ангелов.txt,Тринадцатый Доктор,,Плачущие ангелы
Деревья кадонвуд.txt,,,
Деревья Поппито.txt,,,
Дерек Джекоби.txt,,,Мастер
Десятая планета.txt,Первый Доктор Второй Доктор,,Киберлюди
Дети Земли,,,
Деформация разума.txt,Шестой Доктор,Пери Браун,
Джанин (Месть Сливинов).txt,,,
Джано.txt,,,
"Джейго и Лайтфут, и Стракс",,,
Джейми Брэдли.txt,,,
Джейми Магнус Стоун.txt,,,
Джейсон Хейг-Эллери.txt,,,
Джек Потрошитель.txt,Пятый Доктор Седьмой Доктор,,
